Airline Name,Airline Country,Departure Airport Name,Departure Airport City,Departure Airport Country/Region,Arrival Airport Name,Arrival Airport City,Arrival Airport Country/Region,Plane Name
Tuna Aero,Sweden,Norsup Airport,Norsup,Vanuatu,Bauerfield International Airport,Port-vila,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Santo Pekoa International Airport,Santo,Vanuatu,Lonorore Airport,Lonorore,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Craig Cove Airport,Craig Cove,Vanuatu,Norsup Airport,Norsup,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
Tuna Aero,Sweden,Bauerfield International Airport,Port-vila,Vanuatu,Norsup Airport,Norsup,Vanuatu,Harbin Yunshuji Y12;De Havilland Canada DHC-6 Twin Otter
Tuna Aero,Sweden,Aneityum Airport,Anelghowhat,Vanuatu,Tanna Airport,Tanna,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Futuna Airport,Futuna Island,Wallis and Futuna,Tanna Airport,Tanna,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Lonorore Airport,Lonorore,Vanuatu,Santo Pekoa International Airport,Santo,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Tanna Airport,Tanna,Vanuatu,Aneityum Airport,Anelghowhat,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Tanna Airport,Tanna,Vanuatu,Aniwa Airport,Aniwa,Vanuatu,Harbin Yunshuji Y12;Pilatus Britten-Norman BN-2A/B Islander
Tuna Aero,Sweden,Aniwa Airport,Aniwa,Vanuatu,Futuna Airport,Futuna Island,Wallis and Futuna,Harbin Yunshuji Y12
Tuna Aero,Sweden,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Ipota Airport,Ipota,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Bauerfield International Airport,Port-vila,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Futuna Airport,Futuna Island,Wallis and Futuna,Aniwa Airport,Aniwa,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Ipota Airport,Ipota,Vanuatu,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Ipota Airport,Ipota,Vanuatu,Tanna Airport,Tanna,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Ipota Airport,Ipota,Vanuatu,Bauerfield International Airport,Port-vila,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Mota Lava Airport,Ablow,Vanuatu,Gaua Island Airport,Gaua Island,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Sola Airport,Sola,Vanuatu,Mota Lava Airport,Ablow,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Tanna Airport,Tanna,Vanuatu,Ipota Airport,Ipota,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Ulei Airport,Ambryn Island,Vanuatu,Bauerfield International Airport,Port-vila,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Bauerfield International Airport,Port-vila,Vanuatu,Craig Cove Airport,Craig Cove,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Bauerfield International Airport,Port-vila,Vanuatu,Dillon's Bay Airport,Dillon's Bay,Vanuatu,Harbin Yunshuji Y12
Tuna Aero,Sweden,Bauerfield International Airport,Port-vila,Vanuatu,Ipota Airport,Ipota,Vanuatu,Harbin Yunshuji Y12
Cranwell Flying Training Unit,United Kingdom,Nadym Airport,Nadym,Russia,Sovetskiy Airport,Sovetskiy,Russia,Yakovlev Yak-40
Cranwell Flying Training Unit,United Kingdom,Sovetskiy Airport,Sovetskiy,Russia,Nadym Airport,Nadym,Russia,Yakovlev Yak-40
Cranwell Flying Training Unit,United Kingdom,Sovetskiy Airport,Sovetskiy,Russia,Koltsovo Airport,Yekaterinburg,Russia,Yakovlev Yak-40
Cranwell Flying Training Unit,United Kingdom,Koltsovo Airport,Yekaterinburg,Russia,Sovetskiy Airport,Sovetskiy,Russia,Yakovlev Yak-40
Renan,Moldova,Domodedovo International Airport,Moscow,Russia,Saratov Central Airport,Saratov,Russia,Yakovlev Yak-42;Embraer 190
Voar Lda,Angola,Khartoum International Airport,Khartoum,Sudan,Port Sudan New International Airport,Port Sudan,Sudan,Yakovlev Yak-42;Airbus A320
Voar Lda,Angola,Port Sudan New International Airport,Port Sudan,Sudan,Khartoum International Airport,Khartoum,Sudan,Yakovlev Yak-42;Airbus A320
Cranwell Flying Training Unit,United Kingdom,Beloyarskiy Airport,Beloyarsky,Russia,Vnukovo International Airport,Moscow,Russia,Yakovlev Yak-42
Cranwell Flying Training Unit,United Kingdom,Sovetskiy Airport,Sovetskiy,Russia,Vnukovo International Airport,Moscow,Russia,Yakovlev Yak-42
Cranwell Flying Training Unit,United Kingdom,Ukhta Airport,Ukhta,Russia,Vnukovo International Airport,Moscow,Russia,Yakovlev Yak-42
Cranwell Flying Training Unit,United Kingdom,Vnukovo International Airport,Moscow,Russia,Beloyarskiy Airport,Beloyarsky,Russia,Yakovlev Yak-42
Cranwell Flying Training Unit,United Kingdom,Vnukovo International Airport,Moscow,Russia,Sovetskiy Airport,Sovetskiy,Russia,Yakovlev Yak-42
Cranwell Flying Training Unit,United Kingdom,Vnukovo International Airport,Moscow,Russia,Ukhta Airport,Ukhta,Russia,Yakovlev Yak-42
Renan,Moldova,Zvartnots International Airport,Yerevan,Armenia,Saratov Central Airport,Saratov,Russia,Yakovlev Yak-42
Renan,Moldova,Mineralnyye Vody Airport,Mineralnye Vody,Russia,Saratov Central Airport,Saratov,Russia,Yakovlev Yak-42
Renan,Moldova,Saratov Central Airport,Saratov,Russia,Zvartnots International Airport,Yerevan,Armenia,Yakovlev Yak-42
Renan,Moldova,Saratov Central Airport,Saratov,Russia,Mineralnyye Vody Airport,Mineralnye Vody,Russia,Yakovlev Yak-42
Renan,Moldova,Saratov Central Airport,Saratov,Russia,Koltsovo Airport,Yekaterinburg,Russia,Yakovlev Yak-42
Renan,Moldova,Koltsovo Airport,Yekaterinburg,Russia,Saratov Central Airport,Saratov,Russia,Yakovlev Yak-42
Southern Cargo Air Lines,Russia,Domodedovo International Airport,Moscow,Russia,Izhevsk Airport,Izhevsk,Russia,Yakovlev Yak-42
Southern Cargo Air Lines,Russia,Domodedovo International Airport,Moscow,Russia,Kurgan Airport,Kurgan,Russia,Yakovlev Yak-42
Southern Cargo Air Lines,Russia,Izhevsk Airport,Izhevsk,Russia,Domodedovo International Airport,Moscow,Russia,Yakovlev Yak-42
Southern Cargo Air Lines,Russia,Izhevsk Airport,Izhevsk,Russia,Pulkovo Airport,St. Petersburg,Russia,Yakovlev Yak-42
Southern Cargo Air Lines,Russia,Kurgan Airport,Kurgan,Russia,Domodedovo International Airport,Moscow,Russia,Yakovlev Yak-42
Southern Cargo Air Lines,Russia,Pulkovo Airport,St. Petersburg,Russia,Izhevsk Airport,Izhevsk,Russia,Yakovlev Yak-42
Voar Lda,Angola,Geneina Airport,Geneina,Sudan,Khartoum International Airport,Khartoum,Sudan,Yakovlev Yak-42
Voar Lda,Angola,El Fasher Airport,El Fasher,Sudan,Khartoum International Airport,Khartoum,Sudan,Yakovlev Yak-42
Voar Lda,Angola,Khartoum International Airport,Khartoum,Sudan,Geneina Airport,Geneina,Sudan,Yakovlev Yak-42
Voar Lda,Angola,Khartoum International Airport,Khartoum,Sudan,El Fasher Airport,El Fasher,Sudan,Yakovlev Yak-42
Regional Air,Mauritania,Mirny Airport,Mirnyj,Russia,Tolmachevo Airport,Novosibirsk,Russia,Tupolev Tu-154;Boeing 737-800
Regional Air,Mauritania,Tolmachevo Airport,Novosibirsk,Russia,Mirny Airport,Mirnyj,Russia,Tupolev Tu-154;Boeing 737-800
Cranwell Flying Training Unit,United Kingdom,Novy Urengoy Airport,Novy Urengoy,Russia,Roshchino International Airport,Tyumen,Russia,Tupolev Tu-154
Cranwell Flying Training Unit,United Kingdom,Novy Urengoy Airport,Novy Urengoy,Russia,Ufa International Airport,Ufa,Russia,Tupolev Tu-154
Cranwell Flying Training Unit,United Kingdom,Roshchino International Airport,Tyumen,Russia,Novy Urengoy Airport,Novy Urengoy,Russia,Tupolev Tu-154
Cranwell Flying Training Unit,United Kingdom,Ufa International Airport,Ufa,Russia,Novy Urengoy Airport,Novy Urengoy,Russia,Tupolev Tu-154
Regional Air,Mauritania,Domodedovo International Airport,Moscow,Russia,Polyarny Airport,Yakutia,Russia,Tupolev Tu-154
Regional Air,Mauritania,Tolmachevo Airport,Novosibirsk,Russia,Polyarny Airport,Yakutia,Russia,Tupolev Tu-154
Regional Air,Mauritania,Polyarny Airport,Yakutia,Russia,Domodedovo International Airport,Moscow,Russia,Tupolev Tu-154
Regional Air,Mauritania,Polyarny Airport,Yakutia,Russia,Tolmachevo Airport,Novosibirsk,Russia,Tupolev Tu-154
Nurnberger Flugdienst,Germany,Ahwaz Airport,Ahwaz,Iran,Mehrabad International Airport,Teheran,Iran,Tupolev Tu-134
Nurnberger Flugdienst,Germany,Esfahan Shahid Beheshti International Airport,Esfahan,Iran,Mahshahr Airport,Bandar Mahshahr,Iran,Tupolev Tu-134
Regional Air,Mauritania,Mirny Airport,Mirnyj,Russia,Yakutsk Airport,Yakutsk,Russia,Tupolev Tu-134;Antonov AN-24
Regional Air,Mauritania,Yakutsk Airport,Yakutsk,Russia,Mirny Airport,Mirnyj,Russia,Tupolev Tu-134;Antonov AN-24
Regional Air,Mauritania,Yemelyanovo Airport,Krasnoyarsk,Russia,Mirny Airport,Mirnyj,Russia,Tupolev Tu-134
Regional Air,Mauritania,Mirny Airport,Mirnyj,Russia,Yemelyanovo Airport,Krasnoyarsk,Russia,Tupolev Tu-134
Nurnberger Flugdienst,Germany,Mahshahr Airport,Bandar Mahshahr,Iran,Esfahan Shahid Beheshti International Airport,Esfahan,Iran,Tupolev Tu-134
Nurnberger Flugdienst,Germany,Tabriz International Airport,Tabriz,Iran,Mehrabad International Airport,Teheran,Iran,Tupolev Tu-134
Nurnberger Flugdienst,Germany,Mehrabad International Airport,Teheran,Iran,Ahwaz Airport,Ahwaz,Iran,Tupolev Tu-134
Nurnberger Flugdienst,Germany,Mehrabad International Airport,Teheran,Iran,Tabriz International Airport,Tabriz,Iran,Tupolev Tu-134
Z-Avia,Armenia,Domodedovo International Airport,Moscow,Russia,Yakutsk Airport,Yakutsk,Russia,Tupolev Tu-204;Boeing 767-300
Z-Avia,Armenia,Domodedovo International Airport,Moscow,Russia,Hurghada International Airport,Hurghada,Egypt,Tupolev Tu-204;Boeing 747-400
Z-Avia,Armenia,Hurghada International Airport,Hurghada,Egypt,Domodedovo International Airport,Moscow,Russia,Tupolev Tu-204;Boeing 747-400
Southeast Airmotive,United States,Simon Bolivar International Airport,Santa Marta,Colombia,Jose Marti International Airport,Havana,Cuba,Tupolev Tu-204;Airbus A320;Antonov An-158;Airbus A319
Southeast Airmotive,United States,Jose Marti International Airport,Havana,Cuba,Simon Bolivar International Airport,Santa Marta,Colombia,Tupolev Tu-204;Airbus A320;Antonov An-158;Airbus A319
Trinity Air Bahamas,Bahamas,Pyongyang Sunan International Airport,Pyongyang,North Korea,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,Tupolev Tu-204
Trinity Air Bahamas,Bahamas,Pyongyang Sunan International Airport,Pyongyang,North Korea,Taoxian Airport,Shenyang,China,Tupolev Tu-204
Trinity Air Bahamas,Bahamas,Pyongyang Sunan International Airport,Pyongyang,North Korea,Vladivostok International Airport,Vladivostok,Russia,Tupolev Tu-204
Trinity Air Bahamas,Bahamas,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,Pyongyang Sunan International Airport,Pyongyang,North Korea,Tupolev Tu-204
Trinity Air Bahamas,Bahamas,Taoxian Airport,Shenyang,China,Pyongyang Sunan International Airport,Pyongyang,North Korea,Tupolev Tu-204
Trinity Air Bahamas,Bahamas,Vladivostok International Airport,Vladivostok,Russia,Pyongyang Sunan International Airport,Pyongyang,North Korea,Tupolev Tu-204
Z-Avia,Armenia,Bukhara Airport,Bukhara,Uzbekistan,Domodedovo International Airport,Moscow,Russia,Tupolev Tu-204
Z-Avia,Armenia,Domodedovo International Airport,Moscow,Russia,Bukhara Airport,Bukhara,Uzbekistan,Tupolev Tu-204
Taxi de Veracruz,Mexico,Fuerteventura Airport,Fuerteventura,Spain,Gran Canaria Airport,Gran Canaria,Spain,Aerospatiale/Alenia ATR 42-300
Taxi de Veracruz,Mexico,Gran Canaria Airport,Gran Canaria,Spain,Fuerteventura Airport,Fuerteventura,Spain,Aerospatiale/Alenia ATR 42-300
Taxi de Veracruz,Mexico,Gran Canaria Airport,Gran Canaria,Spain,Nouadhibou International Airport,Nouadhibou,Mauritania,Aerospatiale/Alenia ATR 42-300
Taxi de Veracruz,Mexico,Nouadhibou International Airport,Nouadhibou,Mauritania,Gran Canaria Airport,Gran Canaria,Spain,Aerospatiale/Alenia ATR 42-300
Universal Airlines,Guyana,Khabarovsk-Novy Airport,Khabarovsk,Russia,Yakutsk Airport,Yakutsk,Russia,Sukhoi Superjet 100-95;De Havilland Canada DHC-8-400 Dash 8Q
Universal Airlines,Guyana,Yakutsk Airport,Yakutsk,Russia,Khabarovsk-Novy Airport,Khabarovsk,Russia,Sukhoi Superjet 100-95;De Havilland Canada DHC-8-400 Dash 8Q
Quest Diagnostics,United States,Domodedovo International Airport,Moscow,Russia,Tivat Airport,Tivat,Montenegro,Sukhoi Superjet 100-95;Boeing 737-700
Quest Diagnostics,United States,Tivat Airport,Tivat,Montenegro,Domodedovo International Airport,Moscow,Russia,Sukhoi Superjet 100-95;Boeing 737-700
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Henri Coanda International Airport,Bucharest,Romania,Sukhoi Superjet 100-95;Boeing 737
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Donetsk International Airport,Donetsk,Ukraine,Sukhoi Superjet 100-95;Airbus A320;Airbus A319
Walsten Air Services,Canada,Bolshoye Savino Airport,Perm,Russia,Sheremetyevo International Airport,Moscow,Russia,Sukhoi Superjet 100-95;Airbus A320
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Nizhny Novgorod Strigino International Airport,Nizhniy Novgorod,Russia,Sukhoi Superjet 100-95;Airbus A320
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Bolshoye Savino Airport,Perm,Russia,Sukhoi Superjet 100-95;Airbus A319
Walsten Air Services,Canada,Kharkiv International Airport,Kharkov,Ukraine,Sheremetyevo International Airport,Moscow,Russia,Sukhoi Superjet 100-95;Airbus A319
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Kharkiv International Airport,Kharkov,Ukraine,Sukhoi Superjet 100-95;Airbus A319
Quest Diagnostics,United States,Astrakhan Airport,Astrakhan,Russia,Domodedovo International Airport,Moscow,Russia,Sukhoi Superjet 100-95
Quest Diagnostics,United States,Astrakhan Airport,Astrakhan,Russia,Pulkovo Airport,St. Petersburg,Russia,Sukhoi Superjet 100-95
Quest Diagnostics,United States,Domodedovo International Airport,Moscow,Russia,Astrakhan Airport,Astrakhan,Russia,Sukhoi Superjet 100-95
Quest Diagnostics,United States,Domodedovo International Airport,Moscow,Russia,Belgorod International Airport,Belgorod,Russia,Sukhoi Superjet 100-95
Quest Diagnostics,United States,Belgorod International Airport,Belgorod,Russia,Domodedovo International Airport,Moscow,Russia,Sukhoi Superjet 100-95
Quest Diagnostics,United States,Pulkovo Airport,St. Petersburg,Russia,Astrakhan Airport,Astrakhan,Russia,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Jesus Teran Paredo International Airport,Aguascalientes,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Ingeniero Alberto Acuna Ongay International Airport,Campeche,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Manuel Marquez de Leon International Airport,La Paz,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Jesus Teran Paredo International Airport,Aguascalientes,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Ingeniero Alberto Acuna Ongay International Airport,Campeche,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Manuel Marquez de Leon International Airport,La Paz,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Coatzacoalcos National Airport,Minatitlan,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,General Rafael Buelna International Airport,Mazatlan,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Palenque International Airport,Palenque,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,General Lucio Blanco International Airport,Reynosa,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Francisco Sarabia International Airport,Torreon,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Playa De Oro International Airport,Manzanillo,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Coatzacoalcos National Airport,Minatitlan,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,General Rafael Buelna International Airport,Mazatlan,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Palenque International Airport,Palenque,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,General Lucio Blanco International Airport,Reynosa,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Francisco Sarabia International Airport,Torreon,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Northwood Headquarters,United Kingdom,Playa De Oro International Airport,Manzanillo,Mexico,Licenciado Benito Juarez International Airport,Mexico City,Mexico,Sukhoi Superjet 100-95
Universal Airlines,Guyana,Sokol Airport,Magadan,Russia,Khabarovsk-Novy Airport,Khabarovsk,Russia,Sukhoi Superjet 100-95
Universal Airlines,Guyana,Taiping Airport,Harbin,China,Yakutsk Airport,Yakutsk,Russia,Sukhoi Superjet 100-95
Universal Airlines,Guyana,Khabarovsk-Novy Airport,Khabarovsk,Russia,Sokol Airport,Magadan,Russia,Sukhoi Superjet 100-95
Universal Airlines,Guyana,Vladivostok International Airport,Vladivostok,Russia,Yakutsk Airport,Yakutsk,Russia,Sukhoi Superjet 100-95
Universal Airlines,Guyana,Yakutsk Airport,Yakutsk,Russia,Taiping Airport,Harbin,China,Sukhoi Superjet 100-95
Universal Airlines,Guyana,Yakutsk Airport,Yakutsk,Russia,Vladivostok International Airport,Vladivostok,Russia,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Dnipropetrovsk International Airport,Dnepropetrovsk,Ukraine,Sheremetyevo International Airport,Moscow,Russia,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Dresden Airport,Dresden,Germany,Sheremetyevo International Airport,Moscow,Russia,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Krakow John Paul II International Airport,Krakow,Poland,Sheremetyevo International Airport,Moscow,Russia,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Magnitogorsk International Airport,Magnetiogorsk,Russia,Sheremetyevo International Airport,Moscow,Russia,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Dnipropetrovsk International Airport,Dnepropetrovsk,Ukraine,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Dresden Airport,Dresden,Germany,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Krakow John Paul II International Airport,Krakow,Poland,Sukhoi Superjet 100-95
Walsten Air Services,Canada,Sheremetyevo International Airport,Moscow,Russia,Magnitogorsk International Airport,Magnetiogorsk,Russia,Sukhoi Superjet 100-95
Quebec Government Air Service,Canada,Queen Beatrix International Airport,Oranjestad,Aruba,Josefa Camejo International Airport,Paraguana,Venezuela,Shorts SD.360
Quebec Government Air Service,Canada,Queen Beatrix International Airport,Oranjestad,Aruba,La Chinita International Airport,Maracaibo,Venezuela,Shorts SD.360
Quebec Government Air Service,Canada,Flamingo International Airport,Kralendijk,Netherlands Antilles,Hato International Airport,Willemstad,Netherlands Antilles,Shorts SD.360
Quebec Government Air Service,Canada,Hato International Airport,Willemstad,Netherlands Antilles,Queen Beatrix International Airport,Oranjestad,Aruba,Shorts SD.360
Quebec Government Air Service,Canada,Josefa Camejo International Airport,Paraguana,Venezuela,Queen Beatrix International Airport,Oranjestad,Aruba,Shorts SD.360
Quebec Government Air Service,Canada,La Chinita International Airport,Maracaibo,Venezuela,Queen Beatrix International Airport,Oranjestad,Aruba,Shorts SD.360
Servicio Tecnico Aero De Mexico,Mexico,Aberdeen Dyce Airport,Aberdeen,United Kingdom,Sumburgh Airport,Sumburgh,United Kingdom,Saab SF340A/B;Saab 2000
Servicio Tecnico Aero De Mexico,Mexico,Kirkwall Airport,Kirkwall,United Kingdom,Aberdeen Dyce Airport,Aberdeen,United Kingdom,Saab SF340A/B;Saab 2000
Servicio Tecnico Aero De Mexico,Mexico,Sumburgh Airport,Sumburgh,United Kingdom,Aberdeen Dyce Airport,Aberdeen,United Kingdom,Saab SF340A/B;Saab 2000
Sky Harbor Air Service,United States,Rarotonga International Airport,Avarua,Cook Islands,Aitutaki Airport,Aitutaki,Cook Islands,Saab SF340A/B;Embraer EMB 110 Bandeirante
Tajikstan,Tajikistan,Rarotonga International Airport,Avarua,Cook Islands,Aitutaki Airport,Aitutaki,Cook Islands,Saab SF340A/B;Embraer EMB 110 Bandeirante
Spirit of Africa Airlines,Sudan,Luis Munoz Marin International Airport,San Juan,Puerto Rico,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
Spirit of Africa Airlines,Sudan,Cyril E. King Airport,St. Thomas,Virgin Islands,Luis Munoz Marin International Airport,San Juan,Puerto Rico,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
Spirit of Africa Airlines,Sudan,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,Luis Munoz Marin International Airport,San Juan,Puerto Rico,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
Servicio Tecnico Aero De Mexico,Mexico,Glasgow International Airport,Glasgow,United Kingdom,Tiree Airport,Tiree,United Kingdom,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
Servicio Tecnico Aero De Mexico,Mexico,Tiree Airport,Tiree,United Kingdom,Glasgow International Airport,Glasgow,United Kingdom,Saab SF340A/B;De Havilland Canada DHC-6 Twin Otter
South Central Air,United States,Ted Stevens Anchorage International Airport,Anchorage,United States,Unalakleet Airport,Unalakleet,United States,Saab SF340A/B
South Central Air,United States,Unalakleet Airport,Unalakleet,United States,Ted Stevens Anchorage International Airport,Anchorage,United States,Saab SF340A/B
Servicio Tecnico Aero De Mexico,Mexico,Inverness Airport,Inverness,United Kingdom,Stornoway Airport,Stornoway,United Kingdom,Saab SF340A/B;Fairchild Dornier Do.328
Servicio Tecnico Aero De Mexico,Mexico,Stornoway Airport,Stornoway,United Kingdom,Inverness Airport,Inverness,United Kingdom,Saab SF340A/B;Fairchild Dornier Do.328
Royal Air Force,United Kingdom,Campbell River Airport,Campbell River,Canada,Comox Airport,Comox,Canada,Saab SF340A/B
Royal Air Force,United Kingdom,Comox Airport,Comox,Canada,Vancouver International Airport,Vancouver,Canada,Saab SF340A/B
Royal Air Force,United Kingdom,Vancouver International Airport,Vancouver,Canada,Port Hardy Airport,Port Hardy,Canada,Saab SF340A/B
Royal Air Force,United Kingdom,Vancouver International Airport,Vancouver,Canada,Trail Airport,Trail,Canada,Saab SF340A/B
Royal Air Force,United Kingdom,Port Hardy Airport,Port Hardy,Canada,Vancouver International Airport,Vancouver,Canada,Saab SF340A/B
Royal Air Force,United Kingdom,Trail Airport,Trail,Canada,Vancouver International Airport,Vancouver,Canada,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Visby Airport,Visby,Sweden,Saab SF340A/B;British Aerospace ATP
Professional Express Courier Service,United States,Halmstad Airport,Halmstad,Sweden,Stockholm-Arlanda Airport,Stockholm,Sweden,Saab SF340A/B;British Aerospace ATP
Professional Express Courier Service,United States,Visby Airport,Visby,Sweden,Stockholm-Arlanda Airport,Stockholm,Sweden,Saab SF340A/B;British Aerospace ATP
Qatar Amiri Flight,Qatar,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,Saab SF340A/B
Qatar Amiri Flight,Qatar,Tupelo Regional Airport,Tupelo,United States,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Halmstad Airport,Halmstad,Sweden,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Karlstad Airport,Karlstad,Sweden,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Mariehamn Airport,Mariehamn,Finland,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Pori Airport,Pori,Finland,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Sandefjord Airport,Sandefjord,Norway,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Vilhelmina Airport,Vilhelmina,Sweden,Saab SF340A/B
Professional Express Courier Service,United States,Stockholm-Arlanda Airport,Stockholm,Sweden,Vaxjo Kronoberg Airport,Vaxjo,Sweden,Saab SF340A/B
Professional Express Courier Service,United States,Halmstad Airport,Halmstad,Sweden,Vaxjo Kronoberg Airport,Vaxjo,Sweden,Saab SF340A/B
Professional Express Courier Service,United States,Hemavan Airport,Hemavan,Sweden,Vilhelmina Airport,Vilhelmina,Sweden,Saab SF340A/B
