route_id,dep_airport,arr_airport,airline_name
104,Noi Bai International Airport,Kansai International Airport,Air 26
105,Noi Bai International Airport,Kaohsiung International Airport,Air 26
106,Noi Bai International Airport,Kuala Lumpur International Airport,Air 26
107,Noi Bai International Airport,Lien Khuong Airport,Air 26
108,Noi Bai International Airport,Luang Phabang International Airport,Air 26
109,Noi Bai International Airport,Narita International Airport,Air 26
110,Noi Bai International Airport,Phnom Penh International Airport,Air 26
111,Noi Bai International Airport,Phu Bai Airport,Air 26
112,Noi Bai International Airport,Phu Cat Airport,Air 26
113,Noi Bai International Airport,Phu Quoc International Airport,Air 26
114,Noi Bai International Airport,Pleiku Airport,Air 26
115,Noi Bai International Airport,Shanghai Pudong International Airport,Air 26
116,Noi Bai International Airport,Siem Reap International Airport,Air 26
117,Noi Bai International Airport,Singapore Changi Airport,Air 26
118,Noi Bai International Airport,Suvarnabhumi Airport,Air 26
119,Noi Bai International Airport,Taiwan Taoyuan International Airport,Air 26
120,Noi Bai International Airport,Tan Son Nhat International Airport,Air 26
121,Noi Bai International Airport,Vinh Airport,Air 26
122,Noi Bai International Airport,Wattay International Airport,Air 26
123,Noi Bai International Airport,Yangon International Airport,Air 26
124,Phnom Penh International Airport,Noi Bai International Airport,Air 26
125,Phnom Penh International Airport,Suvarnabhumi Airport,Air 26
126,Phnom Penh International Airport,Tan Son Nhat International Airport,Air 26
127,Phnom Penh International Airport,Wattay International Airport,Air 26
128,Phu Bai Airport,Noi Bai International Airport,Air 26
129,Phu Bai Airport,Tan Son Nhat International Airport,Air 26
130,Phu Cat Airport,Noi Bai International Airport,Air 26
131,Phu Cat Airport,Tan Son Nhat International Airport,Air 26
132,Phu Quoc International Airport,Can Tho International Airport,Air 26
133,Phu Quoc International Airport,Noi Bai International Airport,Air 26
134,Phu Quoc International Airport,Tan Son Nhat International Airport,Air 26
135,Pleiku Airport,Da Nang International Airport,Air 26
136,Pleiku Airport,Noi Bai International Airport,Air 26
137,Pleiku Airport,Tan Son Nhat International Airport,Air 26
138,Rach Gia Airport,Tan Son Nhat International Airport,Air 26
139,Shanghai Pudong International Airport,Da Nang International Airport,Air 26
140,Shanghai Pudong International Airport,Noi Bai International Airport,Air 26
141,Shanghai Pudong International Airport,Tan Son Nhat International Airport,Air 26
142,Siem Reap International Airport,Da Nang International Airport,Air 26
143,Siem Reap International Airport,Luang Phabang International Airport,Air 26
144,Siem Reap International Airport,Noi Bai International Airport,Air 26
145,Siem Reap International Airport,Tan Son Nhat International Airport,Air 26
146,Singapore Changi Airport,Noi Bai International Airport,Air 26
147,Singapore Changi Airport,Tan Son Nhat International Airport,Air 26
148,Soekarno-Hatta International Airport,Tan Son Nhat International Airport,Air 26
149,Suvarnabhumi Airport,Jomo Kenyatta International Airport,Air 26
150,Suvarnabhumi Airport,Noi Bai International Airport,Air 26
151,Suvarnabhumi Airport,Phnom Penh International Airport,Air 26
152,Suvarnabhumi Airport,Tan Son Nhat International Airport,Air 26
153,Sydney Kingsford Smith International Airport,Tan Son Nhat International Airport,Air 26
154,Taiwan Taoyuan International Airport,Noi Bai International Airport,Air 26
155,Taiwan Taoyuan International Airport,Tan Son Nhat International Airport,Air 26
156,Tan Son Nhat International Airport,Abu Dhabi International Airport,Air 26
157,Tan Son Nhat International Airport,Buon Ma Thuot Airport,Air 26
158,Tan Son Nhat International Airport,Ca Mau Airport,Air 26
159,Tan Son Nhat International Airport,Cam Ranh Airport,Air 26
160,Tan Son Nhat International Airport,Cat Bi International Airport,Air 26
161,Tan Son Nhat International Airport,Charles de Gaulle International Airport,Air 26
162,Tan Son Nhat International Airport,Chu Lai International Airport,Air 26
163,Tan Son Nhat International Airport,Chubu Centrair International Airport,Air 26
164,Tan Son Nhat International Airport,Co Ong Airport,Air 26
165,Tan Son Nhat International Airport,Da Nang International Airport,Air 26
166,Tan Son Nhat International Airport,Domodedovo International Airport,Air 26
167,Tan Son Nhat International Airport,Dong Hoi Airport,Air 26
168,Tan Son Nhat International Airport,Dong Tac Airport,Air 26
169,Tan Son Nhat International Airport,Frankfurt am Main Airport,Air 26
170,Tan Son Nhat International Airport,Fukuoka Airport,Air 26
171,Tan Son Nhat International Airport,Fuzhou Changle International Airport,Air 26
172,Tan Son Nhat International Airport,Gimhae International Airport,Air 26
173,Tan Son Nhat International Airport,Guangzhou Baiyun International Airport,Air 26
174,Tan Son Nhat International Airport,Hong Kong International Airport,Air 26
175,Tan Son Nhat International Airport,Incheon International Airport,Air 26
176,Tan Son Nhat International Airport,Kansai International Airport,Air 26
177,Tan Son Nhat International Airport,Kaohsiung International Airport,Air 26
178,Tan Son Nhat International Airport,Kuala Lumpur International Airport,Air 26
179,Tan Son Nhat International Airport,Lien Khuong Airport,Air 26
180,Tan Son Nhat International Airport,Melbourne International Airport,Air 26
181,Tan Son Nhat International Airport,Narita International Airport,Air 26
182,Tan Son Nhat International Airport,Ninoy Aquino International Airport,Air 26
183,Tan Son Nhat International Airport,Noi Bai International Airport,Air 26
184,Tan Son Nhat International Airport,Phnom Penh International Airport,Air 26
185,Tan Son Nhat International Airport,Phu Bai Airport,Air 26
186,Tan Son Nhat International Airport,Phu Cat Airport,Air 26
187,Tan Son Nhat International Airport,Phu Quoc International Airport,Air 26
188,Tan Son Nhat International Airport,Pleiku Airport,Air 26
189,Tan Son Nhat International Airport,Rach Gia Airport,Air 26
190,Tan Son Nhat International Airport,Shanghai Pudong International Airport,Air 26
191,Tan Son Nhat International Airport,Siem Reap International Airport,Air 26
192,Tan Son Nhat International Airport,Singapore Changi Airport,Air 26
193,Tan Son Nhat International Airport,Soekarno-Hatta International Airport,Air 26
194,Tan Son Nhat International Airport,Suvarnabhumi Airport,Air 26
195,Tan Son Nhat International Airport,Sydney Kingsford Smith International Airport,Air 26
196,Tan Son Nhat International Airport,Taiwan Taoyuan International Airport,Air 26
197,Tan Son Nhat International Airport,Vinh Airport,Air 26
198,Tan Son Nhat International Airport,Yangon International Airport,Air 26
199,Vinh Airport,Da Nang International Airport,Air 26
200,Vinh Airport,Noi Bai International Airport,Air 26
201,Vinh Airport,Tan Son Nhat International Airport,Air 26
202,Vinh Airport,Wattay International Airport,Air 26
203,Wattay International Airport,Noi Bai International Airport,Air 26
204,Wattay International Airport,Phnom Penh International Airport,Air 26
205,Wattay International Airport,Vinh Airport,Air 26
206,Wenzhou Longwan International Airport,Da Nang International Airport,Air 26
207,Xiamen Gaoqi International Airport,Da Nang International Airport,Air 26
208,Yangon International Airport,Noi Bai International Airport,Air 26
209,Yangon International Airport,Tan Son Nhat International Airport,Air 26
210,Domodedovo International Airport,Manas International Airport,Air Asia X
211,Manas International Airport,Domodedovo International Airport,Air Asia X
212,Manas International Airport,Osh Airport,Air Asia X
213,Osh Airport,Manas International Airport,Air Asia X
214,Abbotsford Airport,Calgary International Airport,Air Bucharest
215,Brandon Municipal Airport,Calgary International Airport,Air Bucharest
216,Calgary International Airport,Abbotsford Airport,Air Bucharest
217,Calgary International Airport,Brandon Municipal Airport,Air Bucharest
218,Calgary International Airport,Comox Airport,Air Bucharest
219,Calgary International Airport,Edmonton International Airport,Air Bucharest
220,Calgary International Airport,Fort St John Airport,Air Bucharest
221,Calgary International Airport,Grande Prairie Airport,Air Bucharest
222,Calgary International Airport,John F Kennedy International Airport,Air Bucharest
223,Calgary International Airport,Kamloops Airport,Air Bucharest
224,Calgary International Airport,Kelowna International Airport,Air Bucharest
225,Calgary International Airport,Lester B. Pearson International Airport,Air Bucharest
226,Calgary International Airport,Nanaimo Airport,Air Bucharest
227,Calgary International Airport,Prince George Airport,Air Bucharest
228,Calgary International Airport,Regina International Airport,Air Bucharest
229,Calgary International Airport,Saskatoon John G. Diefenbaker International Airport,Air Bucharest
230,Calgary International Airport,Vancouver International Airport,Air Bucharest
231,Calgary International Airport,Winnipeg / James Armstrong Richardson International Airport,Air Bucharest
232,Charlottetown Airport,Lester B. Pearson International Airport,Air Bucharest
233,Chicago O'Hare International Airport,Lester B. Pearson International Airport,Air Bucharest
234,Comox Airport,Calgary International Airport,Air Bucharest
235,Dallas Fort Worth International Airport,Lester B. Pearson International Airport,Air Bucharest
236,Dallas Fort Worth International Airport,Montreal / Pierre Elliott Trudeau International Airport,Air Bucharest
237,Dallas Fort Worth International Airport,Vancouver International Airport,Air Bucharest
238,Detroit Metropolitan Wayne County Airport,Lester B. Pearson International Airport,Air Bucharest
239,Edmonton International Airport,Calgary International Airport,Air Bucharest
240,Edmonton International Airport,Fort McMurray Airport,Air Bucharest
241,Edmonton International Airport,Grande Prairie Airport,Air Bucharest
242,Edmonton International Airport,Montreal / Pierre Elliott Trudeau International Airport,Air Bucharest
243,Edmonton International Airport,Regina International Airport,Air Bucharest
244,Edmonton International Airport,Saskatoon John G. Diefenbaker International Airport,Air Bucharest
245,Edmonton International Airport,Vancouver International Airport,Air Bucharest
246,Edmonton International Airport,Victoria International Airport,Air Bucharest
247,Edmonton International Airport,Yellowknife Airport,Air Bucharest
248,Fort McMurray Airport,Edmonton International Airport,Air Bucharest
249,Fort St John Airport,Calgary International Airport,Air Bucharest
250,Fort St John Airport,Vancouver International Airport,Air Bucharest
251,Grande Prairie Airport,Calgary International Airport,Air Bucharest
252,Grande Prairie Airport,Edmonton International Airport,Air Bucharest
253,Halifax / Stanfield International Airport,La Guardia Airport,Air Bucharest
254,Halifax / Stanfield International Airport,Lester B. Pearson International Airport,Air Bucharest
255,Hartsfield Jackson Atlanta International Airport,John F Kennedy International Airport,Air Bucharest
256,Hartsfield Jackson Atlanta International Airport,La Guardia Airport,Air Bucharest
257,Hartsfield Jackson Atlanta International Airport,Lester B. Pearson International Airport,Air Bucharest
258,John F Kennedy International Airport,Calgary International Airport,Air Bucharest
259,John F Kennedy International Airport,Lester B. Pearson International Airport,Air Bucharest
260,Kamloops Airport,Calgary International Airport,Air Bucharest
261,Kelowna International Airport,Lester B. Pearson International Airport,Air Bucharest
262,Kelowna International Airport,Vancouver International Airport,Air Bucharest
263,Kelowna International Airport,Victoria International Airport,Air Bucharest
264,La Guardia Airport,Halifax / Stanfield International Airport,Air Bucharest
265,La Guardia Airport,Hartsfield Jackson Atlanta International Airport,Air Bucharest
266,La Guardia Airport,Lester B. Pearson International Airport,Air Bucharest
267,La Guardia Airport,Louis Armstrong New Orleans International Airport,Air Bucharest
268,La Guardia Airport,Montreal / Pierre Elliott Trudeau International Airport,Air Bucharest
269,Lester B. Pearson International Airport,Calgary International Airport,Air Bucharest
270,Lester B. Pearson International Airport,Charlottetown Airport,Air Bucharest
271,Lester B. Pearson International Airport,Chicago O'Hare International Airport,Air Bucharest
