route_id,arr_airport
231,Winnipeg / James Armstrong Richardson International Airport
232,Lester B. Pearson International Airport
233,Lester B. Pearson International Airport
234,Calgary International Airport
235,Lester B. Pearson International Airport
236,Montreal / Pierre Elliott Trudeau International Airport
237,Vancouver International Airport
238,Lester B. Pearson International Airport
239,Calgary International Airport
240,Fort McMurray Airport
241,Grande Prairie Airport
242,Montreal / Pierre Elliott Trudeau International Airport
243,Regina International Airport
244,Saskatoon John G. Diefenbaker International Airport
245,Vancouver International Airport
246,Victoria International Airport
247,Yellowknife Airport
248,Edmonton International Airport
249,Calgary International Airport
250,Vancouver International Airport
251,Calgary International Airport
252,Edmonton International Airport
253,La Guardia Airport
254,Lester B. Pearson International Airport
255,John F Kennedy International Airport
256,La Guardia Airport
257,Lester B. Pearson International Airport
258,Calgary International Airport
259,Lester B. Pearson International Airport
260,Calgary International Airport
261,Lester B. Pearson International Airport
262,Vancouver International Airport
263,Victoria International Airport
264,Halifax / Stanfield International Airport
265,Hartsfield Jackson Atlanta International Airport
266,Lester B. Pearson International Airport
267,Louis Armstrong New Orleans International Airport
268,Montreal / Pierre Elliott Trudeau International Airport
269,Calgary International Airport
270,Charlottetown Airport
271,Chicago O'Hare International Airport
272,Dallas Fort Worth International Airport
273,Detroit Metropolitan Wayne County Airport
274,Halifax / Stanfield International Airport
275,Hartsfield Jackson Atlanta International Airport
276,John F Kennedy International Airport
277,La Guardia Airport
278,Los Angeles International Airport
279,Miami International Airport
280,Montreal / Pierre Elliott Trudeau International Airport
281,Ottawa Macdonald-Cartier International Airport
282,Southwest Florida International Airport
283,Tampa International Airport
284,Thunder Bay Airport
285,Vancouver International Airport
286,Winnipeg / James Armstrong Richardson International Airport
287,Lester B. Pearson International Airport
288,La Guardia Airport
289,Miami International Airport
290,Lester B. Pearson International Airport
291,Louis Armstrong New Orleans International Airport
292,Montreal / Pierre Elliott Trudeau International Airport
293,Montreal / Pierre Elliott Trudeau International Airport
294,Dallas Fort Worth International Airport
295,Edmonton International Airport
296,La Guardia Airport
297,Lester B. Pearson International Airport
298,Miami International Airport
299,Minneapolis-St Paul International/Wold-Chamberlain Airport
300,Calgary International Airport
301,Vancouver International Airport
302,Calgary International Airport
303,Lester B. Pearson International Airport
304,Calgary International Airport
305,Vancouver International Airport
306,Calgary International Airport
307,Edmonton International Airport
308,Winnipeg / James Armstrong Richardson International Airport
309,Calgary International Airport
310,Edmonton International Airport
311,Winnipeg / James Armstrong Richardson International Airport
312,Lester B. Pearson International Airport
313,Lester B. Pearson International Airport
314,Lester B. Pearson International Airport
315,Winnipeg / James Armstrong Richardson International Airport
316,Calgary International Airport
317,Dallas Fort Worth International Airport
318,Edmonton International Airport
319,Fort St John Airport
320,Kelowna International Airport
321,Lester B. Pearson International Airport
322,Northwest Regional Airport Terrace-Kitimat
323,Prince George Airport
324,Victoria International Airport
325,Winnipeg / James Armstrong Richardson International Airport
326,Calgary International Airport
327,Kelowna International Airport
328,Vancouver International Airport
329,Edmonton International Airport
330,Lester B. Pearson International Airport
331,Regina International Airport
332,Saskatoon John G. Diefenbaker International Airport
333,Thunder Bay Airport
334,Vancouver International Airport
335,Edmonton International Airport
336,Noi Bai International Airport
337,Tan Son Nhat International Airport
338,Noi Bai International Airport
339,Tan Son Nhat International Airport
340,Tan Son Nhat International Airport
341,Noi Bai International Airport
342,Tan Son Nhat International Airport
343,Noi Bai International Airport
344,Tan Son Nhat International Airport
345,Buon Ma Thuot Airport
346,Cam Ranh Airport
347,Da Nang International Airport
348,Lien Khuong Airport
349,Phu Bai Airport
350,Suvarnabhumi Airport
351,Tan Son Nhat International Airport
352,Noi Bai International Airport
353,Tan Son Nhat International Airport
354,Tan Son Nhat International Airport
355,Tan Son Nhat International Airport
356,Noi Bai International Airport
357,Tan Son Nhat International Airport
358,Buon Ma Thuot Airport
359,Cam Ranh Airport
360,Cat Bi International Airport
361,Da Nang International Airport
362,Lien Khuong Airport
363,Noi Bai International Airport
364,Phu Bai Airport
365,Phu Cat Airport
366,Phu Quoc International Airport
367,Suvarnabhumi Airport
368,Vinh Airport
369,Tan Son Nhat International Airport
370,General Edward Lawrence Logan International Airport
371,Orlando International Airport
372,Tampa International Airport
373,Dallas Love Field
374,McCarran International Airport
375,Metropolitan Oakland International Airport
376,Phoenix Sky Harbor International Airport
377,San Diego International Airport
378,William P Hobby Airport
379,Dallas Love Field
380,Denver International Airport
381,El Paso International Airport
382,Louis Armstrong New Orleans International Airport
383,Lubbock Preston Smith International Airport
384,McCarran International Airport
385,Norman Y. Mineta San Jose International Airport
386,Orlando International Airport
387,Phoenix Sky Harbor International Airport
388,Valley International Airport
389,William P Hobby Airport
390,Bradley International Airport
391,Buffalo Niagara International Airport
392,Cleveland Hopkins International Airport
393,Fort Lauderdale Hollywood International Airport
394,General Edward Lawrence Logan International Airport
395,General Mitchell International Airport
396,Hartsfield Jackson Atlanta International Airport
397,Indianapolis International Airport
398,Jacksonville International Airport
399,Kansas City International Airport
400,Los Angeles International Airport
401,Louis Armstrong New Orleans International Airport
402,Luis Munoz Marin International Airport
403,Manchester-Boston Regional Airport
404,McCarran International Airport
405,Nashville International Airport
406,Orlando International Airport
407,Palm Beach International Airport
408,Phoenix Sky Harbor International Airport
409,Raleigh Durham International Airport
410,San Diego International Airport
411,Southwest Florida International Airport
412,St Louis Lambert International Airport
413,Tampa International Airport
414,Theodore Francis Green State Airport
415,Will Rogers World Airport
416,William P Hobby Airport
417,Baltimore/Washington International Thurgood Marshall Airport
418,Dallas Love Field
419,William P Hobby Airport
420,Baltimore/Washington International Thurgood Marshall Airport
421,Hartsfield Jackson Atlanta International Airport
422,Orlando International Airport
423,William P Hobby Airport
424,Baltimore/Washington International Thurgood Marshall Airport
425,Chicago Midway International Airport
426,McCarran International Airport
427,Hartsfield Jackson Atlanta International Airport
428,Orlando International Airport
429,William P Hobby Airport
430,Baltimore/Washington International Thurgood Marshall Airport
431,Buffalo Niagara International Airport
432,Fort Lauderdale Hollywood International Airport
433,John Glenn Columbus International Airport
434,Louisville International Standiford Field
435,McCarran International Airport
436,Phoenix Sky Harbor International Airport
437,San Diego International Airport
438,St Louis Lambert International Airport
439,Tampa International Airport
440,Theodore Francis Green State Airport
441,Baltimore/Washington International Thurgood Marshall Airport
442,William P Hobby Airport
443,Southwest Florida International Airport
444,Albuquerque International Sunport
445,Austin Bergstrom International Airport
446,Bill & Hillary Clinton National Airport/Adams Field
447,El Paso International Airport
448,Kansas City International Airport
449,Louis Armstrong New Orleans International Airport
450,Lubbock Preston Smith International Airport
451,Midland International Airport
452,Rick Husband Amarillo International Airport
453,San Antonio International Airport
454,St Louis Lambert International Airport
455,Tulsa International Airport
456,Valley International Airport
457,Will Rogers World Airport
458,William P Hobby Airport
459,Baltimore/Washington International Thurgood Marshall Airport
460,Chicago Midway International Airport
461,General Mitchell International Airport
462,Indianapolis International Airport
463,Los Angeles International Airport
464,McCarran International Airport
465,Minneapolis-St Paul International/Wold-Chamberlain Airport
466,Nashville International Airport
467,Phoenix Sky Harbor International Airport
468,Sacramento International Airport
469,Salt Lake City International Airport
470,San Antonio International Airport
471,St Louis Lambert International Airport
472,Tulsa International Airport
473,William P Hobby Airport
474,Chicago Midway International Airport
475,Hartsfield Jackson Atlanta International Airport
476,Austin Bergstrom International Airport
477,Dallas Love Field
478,Los Angeles International Airport
479,McCarran International Airport
480,Phoenix Sky Harbor International Airport
481,San Antonio International Airport
482,William P Hobby Airport
483,Phoenix Sky Harbor International Airport
484,St Louis Lambert International Airport
485,Baltimore/Washington International Thurgood Marshall Airport
486,Hartsfield Jackson Atlanta International Airport
487,McCarran International Airport
488,Nashville International Airport
489,Akron Canton Regional Airport
490,Baltimore/Washington International Thurgood Marshall Airport
491,Chicago Midway International Airport
492,Baltimore/Washington International Thurgood Marshall Airport
493,General Edward Lawrence Logan International Airport
494,Hartsfield Jackson Atlanta International Airport
495,Kansas City International Airport
496,Ronald Reagan Washington National Airport
497,Austin Bergstrom International Airport
498,Bradley International Airport
499,Cancun International Airport
500,Detroit Metropolitan Wayne County Airport
501,Fort Lauderdale Hollywood International Airport
502,General Mitchell International Airport
503,Indianapolis International Airport
504,James M Cox Dayton International Airport
505,John Glenn Columbus International Airport
506,Kansas City International Airport
507,Lynden Pindling International Airport
508,Minneapolis-St Paul International/Wold-Chamberlain Airport
